District,District_Code,Total_Beneficiaries,Sanctioned_Amount,Request_ID,Request_Date,Year,Requested_Amount,Granted_Amount,Request_Status,District_Population,Scheme_Name,Applicant_Income_Bracket,Application_Channel,Officer_Review_Score,Processing_Time_Days
Goalpara,D013,4948,5328996,REQ00066,2018-04-22,2018,6501,6501,Approved,2136503,NSAP,Middle,Online,8.71,12
Dibrugarh,D002,2231,1981128,REQ00067,2021-09-02,2021,14871,14871,Approved,1790170,NRLM,Low,Offline,5.86,18
Hailakandi,D014,2166,2932764,REQ00068,2018-12-02,2018,31822,31822,Approved,1667840,PMGSY,BPL,Online,8.01,15
Nagaon,D003,429,545688,REQ00069,2018-05-08,2018,17205,17205,Approved,839137,PMAY,BPL,CSC,6.72,16
Tinsukia,D005,3979,4715115,REQ00070,2019-04-14,2019,37960,15238,Rejected,903758,NRLM,BPL,Offline,4.71,39
Nalbari,D020,1038,1345248,REQ00071,2019-11-02,2019,21384,21384,Approved,1508443,PMGSY,BPL,Online,6.72,37
Goalpara,D013,3349,4902936,REQ00072,2020-03-23,2020,5980,5980,Approved,1464929,MGNREGA,Middle,Online,9.08,55
Nalbari,D020,1091,1434665,REQ00073,2018-06-18,2018,23754,23754,Approved,1754286,NSAP,Middle,CSC,5.93,5
Kokrajhar,D017,2895,1482240,REQ00074,2022-09-17,2022,33125,33125,Approved,2128286,NSAP,BPL,Offline,9.13,46
Tinsukia,D005,3667,2493560,REQ00075,2023-11-08,2023,43628,20182,Rejected,2149821,PMGSY,Low,Offline,1.0,28
Morigaon,D019,2298,1907340,REQ00076,2020-10-02,2020,6679,6679,Approved,2149128,NSAP,Low,Online,7.64,37
Nalbari,D020,3204,2704176,REQ00077,2018-04-28,2018,33394,33394,Approved,1089695,MGNREGA,Low,Offline,6.17,23
Golaghat,D009,2888,2269968,REQ00078,2021-02-05,2021,37424,37424,Approved,559086,PMGSY,BPL,Online,5.4,16
Hailakandi,D014,4102,4380936,REQ00079,2020-09-11,2020,46259,46259,Approved,272323,NSAP,Low,Offline,6.18,6
Darrang,D010,1915,1750310,REQ00080,2020-09-23,2020,21067,9528,Rejected,2426847,NRLM,Middle,Offline,2.02,23
Hailakandi,D014,4608,3861504,REQ00081,2021-12-12,2021,47062,47062,Approved,1254463,NRLM,Low,Offline,5.56,15
Sonitpur,D004,1677,1380171,REQ00082,2019-05-05,2019,49685,49685,Approved,1107582,MGNREGA,Middle,Online,6.71,48
Karimganj,D016,2365,2934965,REQ00083,2023-11-19,2023,40111,40111,Approved,1442547,PMAY,Low,Online,8.96,15
Dhemaji,D012,1569,1269321,REQ00084,2018-02-27,2018,47400,4147,Rejected,428698,NRLM,Middle,Online,4.96,36
Darrang,D010,1134,1307502,REQ00085,2023-07-04,2023,7723,2351,Rejected,2207872,NRLM,BPL,Offline,4.38,29
Bongaigaon,D011,1610,2395680,REQ00086,2018-07-30,2018,17546,1869,Rejected,2262534,PMAY,Low,Offline,5.0,5
Morigaon,D019,539,353045,REQ00087,2019-09-04,2019,37886,37886,Approved,696821,PMAY,Low,Online,7.83,36
Hailakandi,D014,4983,6522747,REQ00088,2020-07-13,2020,35247,35247,Approved,1447189,NSAP,Low,Offline,6.66,56
Morigaon,D019,3612,2932944,REQ00089,2018-09-04,2018,40952,3251,Rejected,1085103,MGNREGA,Middle,CSC,4.94,17
Nagaon,D003,1386,1032570,REQ00090,2019-12-13,2019,37175,37175,Approved,1913446,MGNREGA,BPL,Online,7.03,29
Nalbari,D020,3949,3151302,REQ00091,2018-05-14,2018,16170,16170,Approved,2104345,NRLM,Low,CSC,6.19,5
Jorhat,D008,2267,2960702,REQ00092,2020-03-21,2020,28861,28861,Approved,824906,PMGSY,BPL,Online,7.94,59
Golaghat,D009,1265,724845,REQ00093,2018-09-02,2018,11873,4874,Rejected,2041943,PMGSY,Low,Offline,4.6,8
Karbi Anglong,D015,2591,3150656,REQ00094,2022-07-07,2022,18841,18841,Approved,2036093,PMGSY,Middle,Offline,5.34,6
Nalbari,D020,426,600660,REQ00095,2022-11-05,2022,49138,49138,Approved,308485,PMGSY,Low,Offline,5.22,6
Jorhat,D008,4812,5298012,REQ00096,2018-03-26,2018,45058,18882,Rejected,2173423,PMAY,Low,Online,3.07,34
Karbi Anglong,D015,2378,1628930,REQ00097,2022-11-21,2022,42601,42601,Approved,1659454,PMAY,Low,Offline,6.59,27
Bongaigaon,D011,2730,3237780,REQ00098,2019-03-05,2019,11539,11539,Approved,2278147,NSAP,Low,CSC,6.52,19
Goalpara,D013,4606,2473422,REQ00099,2023-02-06,2023,6771,6771,Approved,686210,NRLM,Low,Offline,6.01,50
Goalpara,D013,4315,5799360,REQ00100,2018-01-05,2018,44100,44100,Approved,427348,NSAP,Middle,Offline,5.53,13
Kokrajhar,D017,3063,3482631,REQ00101,2023-08-04,2023,41986,1691,Rejected,749509,MGNREGA,Low,Offline,3.17,60
Darrang,D010,3689,5168289,REQ00102,2023-06-09,2023,8957,8957,Approved,864286,PMGSY,BPL,Online,5.16,20
Lakhimpur,D018,212,225780,REQ00103,2022-07-30,2022,7108,7108,Approved,692688,PMAY,BPL,Offline,5.31,42
Tinsukia,D005,4182,6084810,REQ00104,2021-04-10,2021,34349,8959,Rejected,2180633,NSAP,Middle,Offline,4.4,16
Karbi Anglong,D015,4615,2990520,REQ00105,2022-04-21,2022,13491,13491,Approved,772557,PMGSY,Middle,CSC,5.68,56
Nagaon,D003,2363,3050633,REQ00106,2022-08-27,2022,23274,23274,Approved,1386312,NRLM,Middle,Online,6.81,47
Darrang,D010,4908,5364444,REQ00107,2023-06-29,2023,10738,10738,Approved,1647554,PMGSY,Low,Offline,9.77,22
Lakhimpur,D018,4551,4032186,REQ00108,2023-02-09,2023,22088,22088,Approved,1806296,MGNREGA,BPL,CSC,6.35,15
Hailakandi,D014,457,377025,REQ00109,2023-04-22,2023,47217,47217,Approved,837975,NSAP,Low,CSC,6.52,32
Dibrugarh,D002,1134,1149876,REQ00110,2021-09-21,2021,7577,7577,Approved,2116495,PMAY,Low,CSC,5.85,1
Tinsukia,D005,3458,4810078,REQ00111,2019-09-25,2019,5903,1085,Rejected,1867165,NRLM,Low,CSC,2.16,42
Nagaon,D003,2791,3829252,REQ00112,2023-12-26,2023,25904,25904,Approved,350571,NSAP,Low,CSC,5.95,40
Nagaon,D003,2023,2318358,REQ00113,2021-03-23,2021,15908,15908,Approved,612900,PMAY,Middle,Offline,6.12,49
Sonitpur,D004,3734,2501780,REQ00114,2021-05-11,2021,2897,2897,Approved,1430473,NRLM,BPL,Online,10.0,23
Dhemaji,D012,3628,2354572,REQ00115,2020-09-27,2020,35810,35810,Approved,955213,PMGSY,Low,CSC,5.62,11
Barpeta,D006,746,838504,REQ00116,2022-04-16,2022,41613,41613,Approved,800279,MGNREGA,Middle,Offline,6.6,15
Karbi Anglong,D015,2180,2114600,REQ00117,2020-11-11,2020,44702,44702,Approved,2492598,NSAP,BPL,Offline,5.93,11
Nagaon,D003,3718,5454306,REQ00118,2021-11-16,2021,39507,13903,Rejected,1467190,NRLM,Low,Offline,3.66,13
Goalpara,D013,4058,2471322,REQ00119,2020-08-29,2020,25993,25993,Approved,1440978,NRLM,Middle,CSC,8.29,45
Darrang,D010,279,376371,REQ00120,2022-06-10,2022,18988,18988,Approved,405706,PMGSY,BPL,CSC,7.5,59
Nalbari,D020,4169,5636488,REQ00121,2021-03-18,2021,16081,16081,Approved,997471,NRLM,Middle,Online,7.58,40
Golaghat,D009,1220,1394460,REQ00122,2019-02-02,2019,42121,1291,Rejected,339940,NRLM,Middle,Offline,4.18,38
Dhemaji,D012,1176,696192,REQ00123,2021-04-23,2021,22411,22411,Approved,1042194,NSAP,Middle,Online,8.81,9
Lakhimpur,D018,3097,3230171,REQ00124,2023-08-18,2023,18860,4210,Rejected,1620674,NSAP,BPL,Offline,3.2,52
Sonitpur,D004,3936,5848896,REQ00125,2018-11-05,2018,10224,10224,Approved,1734171,NSAP,BPL,CSC,7.17,6
Goalpara,D013,214,164780,REQ00126,2019-05-22,2019,30804,30804,Approved,1798136,NRLM,Low,CSC,10.0,53
Dhemaji,D012,987,1175517,REQ00127,2020-08-15,2020,31898,10150,Rejected,1128481,PMGSY,BPL,Offline,4.02,42
Nagaon,D003,3903,5585193,REQ00128,2021-05-22,2021,43548,3823,Rejected,356078,MGNREGA,Low,Online,4.87,20
Karimganj,D016,1051,629549,REQ00129,2020-08-19,2020,36228,36228,Approved,1756135,NSAP,BPL,Offline,6.2,43
Lakhimpur,D018,3533,3889833,REQ00130,2019-09-25,2019,28189,1622,Rejected,1911762,NSAP,Middle,CSC,4.99,18
Dibrugarh,D002,3135,2263470,REQ00131,2022-12-22,2022,30143,14015,Rejected,1740714,NRLM,BPL,Online,2.9,35
Dhemaji,D012,596,540572,REQ00132,2021-02-04,2021,13439,13439,Approved,1089636,NSAP,BPL,Online,6.14,42
Nalbari,D020,274,150974,REQ00133,2021-09-28,2021,16962,3362,Rejected,1068880,PMAY,BPL,CSC,3.88,38
Cachar,D007,2008,1678688,REQ00134,2019-08-28,2019,40058,40058,Approved,745226,NRLM,BPL,Online,6.95,35
Golaghat,D009,1529,935748,REQ00135,2018-04-16,2018,9637,2934,Rejected,1557995,MGNREGA,BPL,CSC,4.16,2
Barpeta,D006,2273,1256969,REQ00136,2019-06-04,2019,49609,49609,Approved,466581,PMGSY,Low,Online,9.1,31
Karbi Anglong,D015,3065,3141625,REQ00137,2019-03-23,2019,30622,3629,Rejected,2387124,PMGSY,Middle,Online,4.43,20
Karbi Anglong,D015,355,199510,REQ00138,2023-05-16,2023,27320,27320,Approved,2060435,PMAY,Low,Offline,5.36,5
Nagaon,D003,2738,3072036,REQ00139,2019-08-31,2019,5304,5304,Approved,2499973,NRLM,BPL,CSC,7.63,46
Bongaigaon,D011,3220,3577420,REQ00140,2023-12-14,2023,20326,8282,Rejected,615984,PMGSY,Low,Offline,3.54,51
Sonitpur,D004,4616,5714608,REQ00141,2020-05-30,2020,29185,29185,Approved,1621582,MGNREGA,Low,Offline,6.45,53
Karbi Anglong,D015,3366,3113550,REQ00142,2019-01-25,2019,21483,21483,Approved,1269085,NRLM,Low,CSC,8.61,24
Tinsukia,D005,3985,2263480,REQ00143,2019-01-09,2019,6594,1768,Rejected,1762994,PMAY,BPL,CSC,2.79,52
Tinsukia,D005,4657,2612577,REQ00144,2021-09-12,2021,44909,44909,Approved,1973925,NSAP,BPL,Offline,6.37,56
Dibrugarh,D002,2456,2735984,REQ00145,2021-07-03,2021,24045,24045,Approved,1092291,PMGSY,BPL,CSC,6.52,10
Karimganj,D016,1937,2647879,REQ00146,2019-03-20,2019,23945,23945,Approved,1368399,NRLM,Middle,Online,7.56,37
Jorhat,D008,3615,4934475,REQ00147,2018-04-18,2018,40911,8763,Rejected,1346179,PMAY,Middle,Online,3.53,45
Darrang,D010,2883,2476497,REQ00148,2018-01-26,2018,12888,4639,Rejected,795065,NSAP,BPL,Online,3.36,48
Kamrup,D001,851,1075664,REQ00149,2023-12-13,2023,15098,15098,Approved,1629821,NSAP,Low,Offline,7.04,11
Dhemaji,D012,2652,3283176,REQ00150,2021-08-21,2021,38197,38197,Approved,852549,PMAY,Middle,Online,6.59,11
Nalbari,D020,507,603330,REQ00151,2018-12-01,2018,18832,18832,Approved,2054067,NSAP,Low,Offline,6.5,27
Golaghat,D009,1865,2374145,REQ00152,2023-09-30,2023,8459,8459,Approved,1388021,NSAP,Low,Online,6.69,44
Morigaon,D019,4086,4245354,REQ00153,2021-06-17,2021,3976,809,Rejected,232241,PMGSY,BPL,Online,4.64,14
Darrang,D010,1830,2351550,REQ00154,2019-07-17,2019,17745,17745,Approved,232421,NRLM,Low,Online,6.46,32
Hailakandi,D014,1539,972648,REQ00155,2022-04-07,2022,35903,35903,Approved,1685484,MGNREGA,Middle,CSC,6.59,5
Goalpara,D013,446,421916,REQ00156,2018-03-18,2018,31130,14124,Rejected,2000548,NRLM,BPL,CSC,4.57,37
Goalpara,D013,3521,2802716,REQ00157,2019-04-17,2019,27544,27544,Approved,2129786,NRLM,BPL,Online,9.73,54
Dhemaji,D012,821,777487,REQ00158,2019-03-10,2019,16945,16945,Approved,2397658,PMGSY,Low,Offline,6.95,6
Goalpara,D013,2641,3335583,REQ00159,2021-10-22,2021,15520,6382,Rejected,2341122,MGNREGA,Low,Online,3.62,41
Sonitpur,D004,4446,4543812,REQ00160,2020-03-05,2020,23896,23896,Approved,631193,MGNREGA,Low,Online,7.31,10
Golaghat,D009,1716,1161732,REQ00161,2019-09-19,2019,43959,5804,Rejected,2082845,NSAP,BPL,Offline,4.05,44
Morigaon,D019,2747,3801848,REQ00162,2021-07-18,2021,10893,10893,Approved,2054755,PMAY,Low,Offline,7.57,41
Darrang,D010,2350,2596750,REQ00163,2018-08-19,2018,24064,24064,Approved,2136688,PMAY,Middle,Offline,8.32,29
Dibrugarh,D002,566,496382,REQ00164,2021-03-21,2021,6028,369,Rejected,2326796,PMGSY,Middle,CSC,4.36,25
Karbi Anglong,D015,4854,5179218,REQ00165,2018-06-18,2018,30473,30473,Approved,2194932,MGNREGA,Middle,Offline,7.93,33
Tinsukia,D005,606,582366,REQ00166,2019-02-28,2019,23507,23507,Approved,923764,PMAY,Middle,CSC,6.83,3
Jorhat,D008,3686,3498014,REQ00167,2023-11-17,2023,35258,35258,Approved,1763854,MGNREGA,Middle,Offline,7.64,59
Darrang,D010,3273,3004614,REQ00168,2021-10-17,2021,45492,45492,Approved,1603621,PMAY,Middle,CSC,9.79,5
Bongaigaon,D011,874,936054,REQ00169,2022-05-03,2022,19621,19621,Approved,1598221,PMGSY,Low,Online,5.51,6
Morigaon,D019,1258,1809004,REQ00170,2021-12-03,2021,21331,6421,Rejected,555337,MGNREGA,Middle,CSC,4.49,20
Lakhimpur,D018,3185,3688230,REQ00171,2021-09-07,2021,9375,4312,Rejected,1975895,PMAY,Middle,CSC,4.22,33
Dhemaji,D012,249,216879,REQ00172,2021-06-19,2021,12813,2799,Rejected,1150190,NSAP,BPL,Online,4.37,9
Tinsukia,D005,732,587064,REQ00173,2019-02-19,2019,34271,34271,Approved,1612492,PMGSY,Middle,Online,5.85,57
Nalbari,D020,1173,1303203,REQ00174,2022-03-24,2022,11109,11109,Approved,894321,MGNREGA,BPL,CSC,6.68,47
Karbi Anglong,D015,457,420440,REQ00175,2022-02-01,2022,45326,45326,Approved,1395074,MGNREGA,Middle,Offline,6.55,49
Karbi Anglong,D015,2016,2108736,REQ00176,2020-09-06,2020,21281,21281,Approved,2047999,MGNREGA,Low,Offline,7.65,30
Darrang,D010,3228,3273192,REQ00177,2023-12-01,2023,28437,28437,Approved,780485,MGNREGA,BPL,CSC,6.03,56
Golaghat,D009,527,609212,REQ00178,2023-05-23,2023,25327,25327,Approved,2363880,PMAY,Middle,CSC,8.91,55
Sonitpur,D004,2435,1424475,REQ00179,2019-10-19,2019,18877,18877,Approved,2034892,PMGSY,Low,Online,5.47,6
Jorhat,D008,3795,5331975,REQ00180,2021-12-02,2021,2747,2747,Approved,2305570,PMAY,Low,Offline,10.0,24
Jorhat,D008,3263,1902329,REQ00181,2022-03-16,2022,15715,15715,Approved,1606309,NRLM,BPL,Online,7.25,51
Tinsukia,D005,1227,661353,REQ00182,2021-03-21,2021,31962,13616,Rejected,2167590,MGNREGA,Middle,CSC,4.29,29
Nalbari,D020,143,204061,REQ00183,2018-11-21,2018,2245,441,Rejected,2413634,MGNREGA,Low,CSC,3.86,28
Sonitpur,D004,2460,1827780,REQ00184,2021-05-18,2021,8985,8985,Approved,2117273,MGNREGA,BPL,Offline,6.96,5
Sonitpur,D004,4194,4659534,REQ00185,2018-03-09,2018,42415,42415,Approved,802204,PMGSY,Middle,Online,5.55,19
Hailakandi,D014,112,126448,REQ00186,2021-12-16,2021,16765,16765,Approved,559090,NSAP,Middle,Online,7.43,34
Dhemaji,D012,654,965304,REQ00187,2023-11-25,2023,36656,36656,Approved,285288,PMGSY,Middle,CSC,6.95,25
Karimganj,D016,456,524400,REQ00188,2022-05-04,2022,25464,25464,Approved,483365,PMAY,Low,Offline,5.85,23
Jorhat,D008,949,1224210,REQ00189,2021-09-23,2021,9743,2886,Rejected,934377,PMGSY,BPL,Offline,4.31,54
Karbi Anglong,D015,4020,4606920,REQ00190,2020-01-17,2020,9837,3749,Rejected,1045533,PMAY,BPL,Offline,2.97,3
Cachar,D007,443,364589,REQ00191,2021-06-24,2021,34776,34776,Approved,1262474,PMGSY,Low,Offline,5.11,3
Cachar,D007,2443,2113195,REQ00192,2018-07-15,2018,43974,43974,Approved,1743584,NRLM,Low,Online,7.71,28
Goalpara,D013,3702,5242032,REQ00193,2022-05-03,2022,23219,23219,Approved,2286764,NSAP,BPL,CSC,6.43,24
Kokrajhar,D017,2284,3014880,REQ00194,2018-12-05,2018,48650,2586,Rejected,956889,NSAP,Low,CSC,3.51,35
Darrang,D010,2731,1652255,REQ00195,2018-11-24,2018,22490,22490,Approved,2070306,NRLM,Middle,Offline,6.35,39
Hailakandi,D014,1465,1766790,REQ00196,2022-12-24,2022,24038,24038,Approved,1678740,PMAY,Low,CSC,6.77,40
Hailakandi,D014,2349,2710746,REQ00197,2018-08-23,2018,5917,2611,Rejected,2352038,NSAP,Middle,Offline,4.23,52
Barpeta,D006,355,229330,REQ00198,2022-11-30,2022,3280,3280,Approved,1736492,PMAY,BPL,Online,6.31,24
Goalpara,D013,4746,2529618,REQ00199,2019-09-21,2019,45503,45503,Approved,2062016,NRLM,Low,Offline,6.12,49
Nagaon,D003,4801,3072640,REQ00200,2023-12-09,2023,25048,5150,Rejected,675837,NRLM,Low,Online,3.71,2
Barpeta,D006,4188,4313640,REQ00201,2022-05-05,2022,37809,37809,Approved,2071805,NRLM,BPL,Offline,6.72,14
Nalbari,D020,2439,2951190,REQ00202,2023-07-05,2023,14118,14118,Approved,2096004,MGNREGA,BPL,Online,7.12,12
Karbi Anglong,D015,819,1088451,REQ00203,2021-08-02,2021,44767,44767,Approved,2474031,PMAY,Low,CSC,8.17,19
Darrang,D010,1390,1706920,REQ00204,2019-12-15,2019,24690,24690,Approved,1042972,MGNREGA,Middle,Online,8.11,51
Tinsukia,D005,2039,2669051,REQ00205,2023-07-17,2023,2722,1134,Rejected,2160442,PMGSY,Low,Offline,3.24,52
Lakhimpur,D018,1163,1309538,REQ00206,2018-12-20,2018,5308,1630,Rejected,1922999,NSAP,Low,CSC,4.12,50
Hailakandi,D014,4809,2765175,REQ00207,2019-05-29,2019,21776,21776,Approved,2153846,PMAY,Middle,Offline,7.03,44
Kokrajhar,D017,2922,1843782,REQ00208,2020-01-16,2020,9456,9456,Approved,720769,PMGSY,Low,Online,7.03,34
Tinsukia,D005,2591,1730788,REQ00209,2019-10-26,2019,22145,22145,Approved,2376415,MGNREGA,Middle,Offline,7.03,58
Darrang,D010,746,563976,REQ00210,2020-03-15,2020,42619,42619,Approved,1470138,NRLM,Middle,Online,10.0,40
Lakhimpur,D018,865,877110,REQ00211,2019-11-22,2019,39784,39784,Approved,1616079,MGNREGA,Middle,Online,7.14,54
